Р“СЂСѓРїРїР°.РљРѕРґ;РћС‚РґРµР».РљРѕРґ;РўРѕРІР°СЂ.РљРѕРґ;Р”Р°С‚Р°;Р§Р°СЃ;РљРѕР»РёС‡РµСЃС‚РІРѕ | РЎСѓРјРјР°;РЎСѓРјРјР° | РЎСѓРјРјР°
171;2;4751;27.01.2009;15;1;82.39
171;2;4751;30.01.2009;13;1;82.39
171;2;4751;26.02.2009;10;1;82.39
171;2;4752;26.12.2008;14;1;91.9
171;2;4752;08.02.2009;11;1;92.08
171;2;4752;19.02.2009;20;1;89.17
171;2;14807;03.12.2008;11;1;566.34
171;2;14807;07.12.2008;20;1;566.34
171;2;86019;07.02.2009;18;1;34.4
171;2;86019;09.02.2009;13;1;35.9
171;2;86019;10.02.2009;19;1;34.4
171;2;86019;10.02.2009;20;2;70.3
171;2;86019;13.02.2009;19;1;34.4
171;2;86019;27.02.2009;20;1;34.4
171;2;86019;28.02.2009;12;1;34.4
171;3;506;10.02.2009;18;1;84.45
171;3;598;09.02.2009;9;5;11.ноя
171;3;598;09.02.2009;11;1;фев.22
171;3;598;09.02.2009;12;2;апр.45
171;3;598;09.02.2009;13;2;апр.45
171;3;598;09.02.2009;14;3;июн.67
171;3;598;09.02.2009;19;2;апр.45
171;3;598;10.02.2009;13;3;июн.67
171;3;598;10.02.2009;18;1;фев.22
171;3;598;10.02.2009;20;2;апр.45
171;3;598;11.02.2009;11;2;апр.45
171;3;598;11.02.2009;15;1;фев.22
171;3;598;11.02.2009;18;2;апр.45
171;3;598;11.02.2009;19;1;фев.22
171;3;598;11.02.2009;20;1;фев.22
171;3;598;12.02.2009;14;2;апр.45
171;3;598;12.02.2009;17;4;авг.89
171;3;598;12.02.2009;18;1;фев.22
171;3;598;13.02.2009;13;1;фев.22
171;3;598;13.02.2009;18;2;апр.45
171;3;598;13.02.2009;20;2;апр.45
171;3;598;14.02.2009;11;4;авг.89
171;3;598;14.02.2009;16;2;апр.45
171;3;598;14.02.2009;17;3;июн.67
171;3;598;14.02.2009;18;1;фев.22
171;3;598;22.02.2009;14;2;апр.45
171;3;598;22.02.2009;16;1;фев.22
171;3;598;25.02.2009;10;1;фев.22
171;3;598;25.02.2009;15;2;апр.45
171;3;598;25.02.2009;17;2;апр.45
171;3;598;25.02.2009;18;1;фев.22
171;3;598;26.02.2009;10;1;фев.22
171;3;598;26.02.2009;12;5;11.ноя
171;3;598;26.02.2009;13;5;11.ноя
171;3;598;26.02.2009;14;3;июн.67
171;3;598;26.02.2009;17;1;фев.22
171;3;598;27.02.2009;14;1;фев.22
171;3;4751;01.12.2008;15;1;80.98
171;3;4751;02.12.2008;16;2;162.81
171;3;4751;10.12.2008;11;1;79.97
171;3;4751;11.12.2008;13;1;79.97
171;3;4751;13.12.2008;16;1;79.97
171;3;4751;17.12.2008;20;1;79.97
171;3;4751;21.12.2008;13;1;79.97
171;3;4751;22.12.2008;15;1;79.97
171;3;4751;29.12.2008;14;1;79.97
171;3;4751;30.12.2008;9;1;79.97
171;3;4751;05.01.2009;17;1;79.97
171;3;4751;07.01.2009;13;1;79.97
171;3;4751;14.01.2009;16;1;80.07
171;3;4751;23.01.2009;13;1;80.07
171;3;4751;29.01.2009;9;1;80.07
171;3;4751;10.02.2009;11;1;80.07
171;3;4751;11.02.2009;14;1;80.07
171;3;4751;15.02.2009;16;1;80.07
171;3;4751;20.02.2009;12;1;80.71
171;3;4752;01.12.2008;13;1;85.53
171;3;4752;25.12.2008;12;1;83.87
171;3;4752;27.12.2008;16;1;83.85
171;3;4752;30.12.2008;9;2;167.72
171;3;4752;02.01.2009;13;1;90.95
171;3;4752;13.01.2009;12;1;86.68
171;3;4752;14.01.2009;12;1;86.68
171;3;4752;15.01.2009;15;1;86.68
171;3;4752;17.01.2009;16;1;86.68
171;3;4752;17.01.2009;17;1;86.68
171;3;4752;27.01.2009;10;1;87.38
171;3;4752;28.01.2009;14;1;87.38
171;3;4752;29.01.2009;18;1;87.38
171;3;4752;03.02.2009;20;2;174.76
171;3;4752;05.02.2009;19;1;87.38
171;3;4752;07.02.2009;11;1;86.68
171;3;4752;09.02.2009;12;1;87.38
171;3;4752;11.02.2009;17;1;87.38
171;3;4752;14.02.2009;9;1;87.38
171;3;4752;17.02.2009;14;1;87.38
171;3;4752;19.02.2009;14;1;87.38
171;3;4752;21.02.2009;14;1;87.38
171;3;4752;27.02.2009;13;1;87.38
171;3;5377;08.01.2009;18;1;57.12
171;3;5377;04.02.2009;11;2;114.23
171;3;12002;01.02.2009;9;1;265.63
171;3;12002;14.02.2009;14;2;540.5
171;3;14807;10.12.2008;16;1;558.25
171;3;14807;10.02.2009;14;1;558.25
171;3;17891;03.12.2008;15;1;457.2
171;3;17891;03.01.2009;14;1;476.99
171;3;20586;01.12.2008;19;1;532.56
171;3;20586;13.12.2008;15;1;577.55
171;3;20586;25.12.2008;12;1;577.55
171;3;20586;13.01.2009;18;1;577.55
171;3;20586;26.01.2009;11;1;577.55
171;3;20586;14.02.2009;20;1;577.55
171;3;20588;20.12.2008;20;1;2392.71
171;3;20588;21.12.2008;18;1;2405.58
171;3;20588;05.01.2009;14;1;2510.16
171;3;20588;15.01.2009;10;1;2510.16
171;3;20588;16.01.2009;13;1;2510.16
171;3;20588;20.01.2009;13;1;2510.16
171;3;20588;27.02.2009;12;1;2814.32
171;3;38077;09.02.2009;19;1;сен.73
171;3;38077;20.02.2009;12;1;окт.28
171;3;38077;24.02.2009;14;1;окт.28
171;3;38079;09.02.2009;19;2;14.66
171;3;38079;24.02.2009;13;2;15.17
171;3;38423;26.12.2008;14;1;268.67
171;3;38423;27.12.2008;20;1;268.67
171;3;38423;13.01.2009;18;1;266.25
171;3;38423;14.01.2009;19;1;261.61
171;3;38423;20.01.2009;12;1;298.14
171;3;38423;21.01.2009;18;1;298.14
171;3;38423;12.02.2009;14;1;298.14
171;3;38427;03.12.2008;13;1;458.68
171;3;43647;03.12.2008;17;1;526.46
171;3;43647;28.01.2009;15;1;526.46
171;3;67419;16.12.2008;20;1;680.92
171;3;67419;01.01.2009;17;1;680.92
171;3;67419;12.01.2009;15;1;680.92
171;3;67419;09.02.2009;9;1;708.92
171;3;67419;16.02.2009;12;1;708.92
171;3;67419;25.02.2009;13;1;700.81
171;3;67420;27.02.2009;12;1;2039.37
171;3;80068;01.12.2008;13;1;41.83
171;3;80068;02.12.2008;17;1;41.83
171;3;80068;06.12.2008;12;1;41.83
171;3;80068;25.12.2008;13;1;41.55
171;3;80068;12.02.2009;12;1;40.81
171;3;80068;24.02.2009;11;1;40.81
171;3;80068;24.02.2009;12;1;40.81
171;3;82137;07.12.2008;16;1;307.38
171;3;82137;01.02.2009;16;1;310.79
171;3;82137;27.02.2009;12;2;615.15
171;3;82277;03.12.2008;9;1;258.39
171;3;82277;07.12.2008;14;1;242.66
171;3;82277;13.12.2008;16;1;241.53
171;3;82277;22.12.2008;11;1;241.53
171;3;82277;02.01.2009;14;1;243.18
171;3;82277;12.01.2009;17;1;243.18
171;3;82277;19.01.2009;14;1;240.79
171;3;82277;30.01.2009;11;1;244.32
171;3;82277;06.02.2009;16;1;243.52
171;3;82277;07.02.2009;16;1;244.32
171;3;82277;07.02.2009;17;1;247.9
171;3;82277;24.02.2009;16;1;238.39
171;3;82277;24.02.2009;19;1;238.39
171;3;83630;06.12.2008;12;1;309.72
171;3;83630;24.01.2009;11;1;309.72
171;3;83630;25.01.2009;10;1;309.72
171;3;85414;25.02.2009;13;2;460.12
171;3;86167;26.02.2009;11;1;апр.13
171;3;86167;26.02.2009;14;2;авг.27
172;1;21923;22.12.2008;20;1;119.03
172;1;21923;10.01.2009;10;1;125.29
172;1;21923;22.02.2009;19;1;117.72
172;1;21924;21.02.2009;17;1;178.03
172;1;21926;24.12.2008;16;1;118.35
172;1;21926;09.01.2009;13;1;118.15
172;1;27520;05.12.2008;18;1;200.03
172;1;27520;13.12.2008;10;1;198.41
172;1;27520;19.12.2008;17;1;201.63
172;1;27520;04.01.2009;18;1;201.63
172;1;27520;22.01.2009;9;1;201.36
172;1;27520;30.01.2009;14;1;201.36
172;1;48782;14.12.2008;13;1;126.81
172;1;48782;01.02.2009;16;1;137.01
172;2;21926;29.12.2008;19;1;130.79
172;2;48782;11.02.2009;15;1;133.91
172;2;48782;15.02.2009;11;1;133.91
172;2;48782;22.02.2009;11;1;133.91
172;3;21923;23.01.2009;14;1;124.68
172;3;21924;13.01.2009;18;1;185.04
172;3;27520;02.12.2008;11;1;221.73
172;3;27520;05.12.2008;17;1;221.73
172;3;27520;07.12.2008;18;1;221.73
172;3;27520;16.12.2008;17;1;221.73
172;3;27520;16.12.2008;20;1;210.79
172;3;27520;19.12.2008;18;1;210.79
172;3;27520;01.01.2009;16;1;210.79
172;3;27520;02.01.2009;16;1;221.73
172;3;27520;17.01.2009;14;1;221.73
172;3;27520;11.02.2009;11;2;431.07
172;3;27520;16.02.2009;14;1;210.79
172;3;27520;20.02.2009;11;1;209.2
172;3;27520;25.02.2009;17;1;212.71
172;3;48782;09.12.2008;10;1;128.76
172;3;48782;24.12.2008;11;1;126.81
172;3;48782;11.01.2009;9;1;127.71
172;3;48782;16.01.2009;12;1;128.76
172;3;48782;26.02.2009;18;1;125.27
173;1;23654;13.12.2008;14;1;21.45
173;1;23654;17.12.2008;15;1;21.45
173;1;23654;29.12.2008;18;1;21.45
173;1;23654;13.01.2009;15;1;21.45
173;1;23654;21.01.2009;13;1;21.45
173;1;53184;19.12.2008;10;2;41.92
173;1;53184;30.01.2009;13;1;20.96
173;1;60065;04.12.2008;19;1;219.86
173;1;60065;18.12.2008;16;1;219.86
173;1;60065;27.12.2008;12;1;195.94
173;1;60065;04.01.2009;13;1;195.94
173;1;60065;27.01.2009;16;1;201.71
173;1;60065;01.02.2009;20;1;201.71
173;1;60065;18.02.2009;17;1;201.71
173;1;60065;21.02.2009;11;1;201.71
173;1;60065;28.02.2009;17;1;203.29
173;1;60066;24.12.2008;16;1;201.53
173;1;60066;30.01.2009;14;1;201.53
173;1;60066;24.02.2009;15;1;194.32
173;1;60070;17.01.2009;15;1;224.8
173;1;60070;25.02.2009;13;1;240.53
173;1;83400;17.12.2008;13;1;66.4
173;1;83400;09.02.2009;16;1;66.4
173;1;83400;13.02.2009;19;1;66.4
173;1;83400;20.02.2009;16;2;129.25
173;1;83400;21.02.2009;20;1;64.62
173;2;24256;09.02.2009;15;1;87.26
173;2;53181;01.02.2009;19;1;20.92
173;2;53184;14.12.2008;15;1;21.авг
173;2;53184;21.01.2009;16;1;21.авг
173;2;60065;17.12.2008;14;1;203.81
173;2;60065;13.02.2009;17;1;203.76
173;2;60065;17.02.2009;18;1;203.81
173;2;60066;12.12.2008;14;1;207.11
173;2;60066;13.12.2008;19;1;207.11
173;2;60066;18.01.2009;16;1;199.93
173;2;60066;21.02.2009;17;1;202.99
173;2;60070;17.02.2009;18;1;234.39
173;2;60070;21.02.2009;14;1;234.39
173;3;23654;22.12.2008;20;1;21.18
173;3;23654;19.02.2009;14;1;20.28
173;3;23692;19.02.2009;13;2;40.09
173;3;53181;03.01.2009;18;1;19.мар
173;3;53181;04.02.2009;16;1;19.мар
173;3;53181;12.02.2009;17;1;20.янв
173;3;53184;02.12.2008;19;1;21.авг
173;3;60065;08.12.2008;20;1;202.43
173;3;60065;14.12.2008;14;1;202.43
173;3;60065;16.12.2008;12;1;202.43
173;3;60065;21.12.2008;13;1;202.43
173;3;60065;09.01.2009;16;1;198.04
173;3;60065;16.01.2009;11;1;198.04
173;3;60065;18.01.2009;17;1;198.04
173;3;60065;28.01.2009;17;1;201.71
173;3;60065;07.02.2009;17;1;199.47
173;3;60065;22.02.2009;13;1;201.71
173;3;60065;22.02.2009;19;1;199.47
173;3;60065;26.02.2009;12;1;215.14
173;3;60065;26.02.2009;15;1;215.14
173;3;60066;19.12.2008;15;1;199.5
173;3;60066;08.01.2009;13;1;199.5
173;3;60066;02.02.2009;15;1;199.5
173;3;60066;14.02.2009;20;1;218.65
173;3;60066;26.02.2009;14;1;208.06
173;3;60070;02.12.2008;10;1;219.86
173;3;60070;19.12.2008;17;1;219.86
173;3;60070;29.12.2008;16;1;218.26
173;3;60070;02.01.2009;12;1;219.86
173;3;60070;17.01.2009;9;1;218.26
173;3;60070;20.01.2009;11;1;219.86
173;3;60070;22.01.2009;15;1;213.93
173;3;82238;29.12.2008;14;2;210.79
173;3;82238;05.01.2009;17;1;105.4
173;3;82238;07.01.2009;13;1;105.4
173;3;82238;08.01.2009;18;1;105.4
173;3;83400;07.12.2008;15;1;69.95
173;3;83400;09.12.2008;14;2;138.06
173;3;83400;09.12.2008;15;1;69.03
173;3;83400;20.12.2008;12;1;69.95
173;3;83400;21.12.2008;19;1;69.03
173;3;83400;29.12.2008;12;5;345.15
173;3;83400;02.01.2009;12;1;69.03
173;3;83400;13.01.2009;14;1;66.96
173;3;83400;13.01.2009;18;2;133.93
173;3;83400;16.01.2009;19;1;66.96
173;3;83400;18.01.2009;13;3;200.89
173;3;83400;25.01.2009;9;1;66.96
173;3;83400;27.01.2009;17;1;66.96
173;3;83400;09.02.2009;10;1;66.96
173;3;83400;10.02.2009;17;1;66.96
173;3;83400;12.02.2009;12;1;66.96
173;3;83400;16.02.2009;17;1;66.96
173;3;83400;18.02.2009;16;1;66.96
173;3;85697;13.02.2009;13;1;683.86
173;3;85697;26.02.2009;10;1;19.87
176;1;4931;03.01.2009;16;2;71.64
176;1;4931;10.01.2009;13;2;71.64
176;1;4931;25.01.2009;9;2;71.64
176;1;4931;31.01.2009;18;1;35.82
176;1;4931;05.02.2009;17;1;35.82
176;1;4931;07.02.2009;10;1;35.82
176;1;4931;16.02.2009;18;2;71.64
176;1;4931;17.02.2009;20;1;35.82
176;1;4931;19.02.2009;13;1;35.82
176;1;4931;26.02.2009;17;1;35.82
176;1;5189;04.01.2009;16;1;16.36
176;1;5190;24.01.2009;17;1;26.29
176;1;5190;31.01.2009;18;1;26.29
176;1;5199;02.12.2008;9;1;22.25
176;1;5199;06.12.2008;18;1;22.25
176;1;44101;05.12.2008;13;2;22.54
176;1;44101;19.02.2009;10;1;ноя.27
176;1;62712;06.12.2008;20;1;32.19
176;1;62712;09.12.2008;11;2;64.39
176;1;62712;12.12.2008;11;1;32.19
176;1;69494;09.12.2008;12;1;276.51
176;1;69494;12.12.2008;14;1;336.49
176;1;69494;02.02.2009;12;1;285.69
176;1;76031;11.01.2009;17;1;20.24
176;1;76031;12.01.2009;20;2;40.48
176;1;76031;18.01.2009;12;2;40.48
176;1;76031;11.02.2009;19;1;25.54
176;1;76031;24.02.2009;20;1;25.54
176;1;76031;26.02.2009;18;2;40.48
176;1;76031;01.03.2009;15;1;19.85
176;1;83456;23.12.2008;18;1;35.88
176;1;83456;31.12.2008;13;2;71.76
176;1;83456;26.01.2009;20;1;35.88
176;1;83456;11.02.2009;13;1;35.88
176;1;83456;31.12.2010;13;2;71.76
176;2;4930;07.12.2008;16;1;13.67
176;2;4930;09.12.2008;17;1;13.94
176;2;4930;09.12.2008;18;1;13.94
176;2;4930;10.12.2008;15;1;13.94
176;2;4930;13.12.2008;16;2;27.89
176;2;4930;26.01.2009;11;1;33.36
176;2;4930;27.01.2009;16;2;66.73
176;2;4931;05.01.2009;12;1;35.82
176;2;4931;05.01.2009;20;1;35.82
176;2;4931;09.01.2009;14;3;107.46
176;2;4931;13.01.2009;16;1;35.82
176;2;4931;18.01.2009;12;1;35.82
176;2;4931;26.01.2009;10;2;71.64
176;2;4931;15.02.2009;17;1;35.82
176;2;7737;25.02.2009;17;1;89.41
176;2;21466;14.01.2009;17;5;67.27
176;2;21466;14.01.2009;18;1;13.45
176;2;21466;14.01.2009;21;1;13.45
176;2;21466;15.01.2009;10;1;13.45
176;2;21466;16.01.2009;12;3;40.36
176;2;21466;16.01.2009;13;4;53.82
176;2;21466;16.01.2009;14;2;26.91
176;2;21466;16.01.2009;17;4;53.82
176;2;21466;16.01.2009;19;2;26.91
176;2;21466;16.01.2009;20;1;13.45
176;2;21466;17.01.2009;14;1;13.45
176;2;21466;17.01.2009;15;4;53.82
176;2;21466;17.01.2009;18;10;134.55
176;2;21466;17.01.2009;19;3;40.36
176;2;21466;17.01.2009;20;1;13.45
176;2;21466;19.01.2009;17;4;53.82
176;2;21466;20.01.2009;12;1;13.45
176;2;21466;20.01.2009;17;1;13.45
176;2;21466;27.02.2009;13;1;13.45
176;2;71918;30.01.2009;11;1;273.25
176;2;71922;11.01.2009;13;1;159.55
176;2;71922;31.01.2009;16;1;159.55
176;3;4930;12.12.2008;16;2;29.фев
176;3;4930;15.12.2008;15;1;14.51
176;3;4930;17.02.2009;14;1;37.42
176;3;4931;30.12.2008;16;1;35.82
176;3;4931;04.01.2009;11;2;71.64
176;3;4931;14.01.2009;9;1;35.82
176;3;4931;17.01.2009;17;1;35.82
176;3;4931;17.01.2009;20;2;71.64
176;3;4931;18.01.2009;18;2;71.64
176;3;4931;20.01.2009;11;1;35.82
176;3;4931;20.01.2009;12;1;35.82
176;3;4931;21.01.2009;17;1;35.82
176;3;4931;28.01.2009;19;1;35.82
176;3;4931;02.02.2009;9;1;35.82
176;3;4931;03.02.2009;19;1;35.82
176;3;5189;28.12.2008;13;1;16.36
176;3;5189;11.01.2009;18;1;16.36
176;3;5189;23.01.2009;10;1;16.36
176;3;5190;03.12.2008;17;1;24.39
176;3;5190;05.12.2008;15;1;24.39
176;3;5190;07.12.2008;9;1;24.39
176;3;5190;08.01.2009;15;1;24.39
176;3;5190;26.01.2009;18;1;26.29
176;3;5190;07.02.2009;15;1;26.29
176;3;5201;17.02.2009;11;2;35.96
176;3;5201;17.02.2009;19;1;17.98
176;3;6987;28.12.2008;17;1;127.9
176;3;7737;23.01.2009;15;1;89.41
176;3;7737;24.01.2009;18;1;85.98
176;3;21466;31.01.2009;16;1;13.май
176;3;44107;11.12.2008;19;1;48.09
176;3;62712;16.12.2008;13;1;32.19
176;3;62712;17.12.2008;17;1;32.19
176;3;62712;24.12.2008;13;1;32.19
176;3;62712;09.01.2009;15;1;32.19
176;3;62712;24.01.2009;17;1;32.19
176;3;69494;06.01.2009;14;1;324.17
176;3;69494;18.01.2009;15;1;313.17
176;3;69494;18.01.2009;16;1;313.17
176;3;69494;15.02.2009;10;1;328.01
176;3;69494;16.02.2009;13;1;328.01
176;3;71905;07.02.2009;17;1;дек.44
176;3;71905;17.02.2009;18;1;дек.21
176;3;71905;18.02.2009;12;2;24.41
176;3;71905;18.02.2009;14;1;дек.21
176;3;71905;19.02.2009;15;1;дек.21
176;3;71905;23.02.2009;12;2;24.41
176;3;71905;23.02.2009;16;1;дек.21
176;3;71905;24.02.2009;11;1;дек.21
176;3;71905;24.02.2009;13;1;дек.21
176;3;71905;25.02.2009;9;3;36.62
176;3;71905;25.02.2009;14;1;дек.21
176;3;71905;25.02.2009;18;1;дек.21
176;3;71905;25.02.2009;20;1;дек.21
176;3;71905;26.02.2009;11;2;24.41
176;3;71922;01.12.2008;18;1;153.43
176;3;71922;06.12.2008;19;1;156.78
176;3;71922;12.12.2008;10;1;151.32
176;3;71922;14.01.2009;16;1;151.32
176;3;71922;18.02.2009;9;1;151.32
176;3;71922;25.02.2009;19;1;149.06
176;3;71931;07.12.2008;18;1;492.28
176;3;71931;09.12.2008;14;1;492.28
176;3;71931;23.12.2008;12;1;460.55
176;3;71931;23.12.2008;17;1;460.55
176;3;71931;02.01.2009;13;1;460.55
176;3;71931;18.01.2009;11;1;460.55
176;3;71931;09.02.2009;20;1;462.46
176;3;76031;12.12.2008;20;1;20.24
176;3;76031;17.01.2009;19;1;20.24
176;3;76031;24.02.2009;13;1;25.54
176;3;83456;29.01.2009;18;3;107.64
176;3;85076;02.12.2008;16;1;16.98
176;3;85076;19.12.2008;17;1;16.98
176;3;85076;06.01.2009;18;1;16.98
176;3;85076;08.01.2009;14;1;16.98
176;3;85382;08.02.2009;18;1;48.38
177;1;36360;19.02.2009;11;1;1313.15
177;3;36360;07.02.2009;10;2;2626.3
178;1;354;19.01.2009;16;6;15673.79
178;1;25893;12.12.2008;15;1;669.79
178;1;25893;16.12.2008;18;1;669.79
178;1;25893;28.12.2008;18;2;1339.57
178;1;25893;30.12.2008;20;1;606.72
178;1;25893;01.02.2009;19;1;630.9
178;1;25893;12.02.2009;13;1;630.9
178;1;25893;28.02.2009;11;1;630.9
178;1;25893;01.03.2009;18;1;630.9
178;1;35334;24.12.2008;18;1;899.55
178;1;35334;16.02.2009;12;1;927.44
178;3;25893;05.12.2008;11;1;630.1
178;3;25893;28.12.2008;16;1;630.1
178;3;25893;17.02.2009;16;1;630.1
178;3;35334;12.01.2009;10;1;930.13
182;1;10613;28.12.2008;12;1;150.42
182;1;10613;29.12.2008;14;1;148.47
182;1;10613;17.02.2009;13;1;148.47
182;1;10613;21.02.2009;10;1;148.9
182;1;10613;21.02.2009;16;1;148.9
182;1;10614;04.02.2009;18;1;125.5
182;1;10614;09.02.2009;10;1;124.59
182;1;10614;13.02.2009;11;1;124.59
182;1;10614;17.02.2009;16;1;124.37
182;1;10614;21.02.2009;19;1;124.37
182;1;10614;28.02.2009;14;1;124.37
182;1;29507;15.12.2008;16;1;318.71
182;1;29507;21.01.2009;16;1;318.71
182;1;29507;24.01.2009;16;1;318.71
182;1;29507;19.02.2009;17;1;414.1
182;1;35821;05.12.2008;16;1;93.31
182;1;35821;06.12.2008;16;1;93.31
182;1;35821;12.12.2008;9;1;93.31
182;1;35821;13.12.2008;19;1;84.61
182;1;35821;14.12.2008;16;1;84.61
182;1;35821;20.12.2008;10;1;84.61
182;1;35821;24.12.2008;15;1;84.61
182;1;35821;08.01.2009;16;2;166.76
182;1;35821;09.01.2009;17;1;83.38
182;1;35821;12.01.2009;19;1;81.24
182;1;35821;18.01.2009;18;1;82.31
182;1;35821;18.01.2009;19;1;82.31
182;1;35821;24.01.2009;20;1;81.24
182;1;35821;05.02.2009;13;1;81.24
182;1;35821;05.02.2009;19;1;81.78
182;1;35821;08.02.2009;11;1;81.78
182;1;35821;10.02.2009;14;1;80.01
182;1;35821;10.02.2009;18;1;80.01
182;1;35821;13.02.2009;11;2;163.25
182;1;35821;18.02.2009;17;1;80.01
182;1;35821;20.02.2009;19;1;80.01
182;1;35821;23.02.2009;11;1;80.01
182;1;35821;26.02.2009;11;1;80.01
182;1;35821;28.02.2009;14;2;160.02
182;1;35821;28.02.2009;18;1;80.01
182;1;35821;01.03.2009;19;1;80.01
182;1;35839;18.12.2008;19;1;141.34
182;1;35839;07.01.2009;17;1;141.34
182;1;35839;17.01.2009;14;1;149.08
182;1;35839;31.01.2009;10;1;145.12
182;1;35839;02.02.2009;15;1;141.34
182;1;35839;27.02.2009;14;1;151.61
182;1;35839;01.03.2009;10;1;151.61
182;1;44458;11.12.2008;16;1;113.49
182;1;44458;25.02.2009;20;1;113.49
182;1;60753;06.12.2008;17;1;54.66
182;1;60753;07.12.2008;17;1;54.66
182;1;60753;08.12.2008;10;2;109.32
182;1;60753;09.12.2008;13;1;54.66
182;1;60753;09.12.2008;19;2;109.32
182;1;60753;10.12.2008;10;1;54.66
182;1;60753;16.12.2008;18;1;54.66
182;1;60753;19.12.2008;18;1;54.66
182;1;60753;21.12.2008;9;1;54.66
182;1;60753;22.12.2008;15;1;54.66
182;1;60753;26.12.2008;10;1;54.66
182;1;60753;26.12.2008;13;1;54.66
182;1;60753;26.12.2008;15;1;50.56
182;1;60753;28.12.2008;9;1;54.66
182;1;60753;02.01.2009;14;2;101.13
182;1;60753;05.01.2009;19;1;49.22
182;1;60753;07.01.2009;11;1;49.22
182;1;60753;08.01.2009;14;1;49.22
182;1;60753;12.01.2009;19;1;49.22
182;1;60753;15.01.2009;9;1;49.22
182;1;60753;17.01.2009;9;1;49.22
182;1;60753;17.01.2009;20;1;49.22
182;1;60753;18.01.2009;10;1;49.22
182;1;60753;18.01.2009;19;1;49.22
182;1;60753;23.01.2009;13;1;49.22
182;1;60753;28.01.2009;10;1;49.73
182;1;60753;28.01.2009;12;2;99.45
182;1;60753;28.01.2009;13;2;99.45
182;1;60753;30.01.2009;10;1;49.73
182;1;60753;31.01.2009;17;3;149.17
182;1;60753;31.01.2009;18;1;49.73
182;1;60753;02.02.2009;14;1;49.22
182;1;60753;02.02.2009;18;1;47.31
182;1;60753;03.02.2009;9;2;94.61
182;1;60753;04.02.2009;16;1;47.31
182;1;60753;06.02.2009;13;1;47.31
182;1;60753;07.02.2009;19;1;47.31
182;1;60753;11.02.2009;18;1;47.31
182;1;60753;13.02.2009;18;1;47.31
182;1;60753;16.02.2009;19;1;47.31
182;1;60753;17.02.2009;18;1;49.73
182;1;60753;18.02.2009;14;1;47.31
182;1;60753;19.02.2009;15;1;49.73
182;1;60753;20.02.2009;9;1;49.73
182;1;60753;21.02.2009;9;1;49.73
182;1;60753;23.02.2009;10;2;99.45
182;1;60753;24.02.2009;12;1;49.73
182;1;60753;24.02.2009;16;1;49.73
182;1;60753;25.02.2009;9;1;49.73
182;1;60753;25.02.2009;10;1;49.73
182;1;60753;25.02.2009;11;1;49.73
182;1;60753;26.02.2009;11;1;49.73
182;1;60753;26.02.2009;14;1;49.73
182;1;60753;26.02.2009;15;1;49.73
182;1;60753;27.02.2009;9;1;49.73
182;1;73107;15.12.2008;9;1;68.04
182;1;83522;28.01.2009;17;1;92.51
182;1;83522;13.02.2009;13;1;98.94
182;2;10613;07.02.2009;19;1;154.65
182;2;10613;19.02.2009;20;1;154.65
182;2;10614;19.12.2008;15;1;129.56
182;2;10614;05.01.2009;13;1;129.81
182;2;10614;15.02.2009;13;1;129.81
182;2;10614;23.02.2009;17;1;129.95
182;2;29505;03.12.2008;20;1;533.71
182;2;29507;16.02.2009;19;1;328.79
182;2;35821;04.12.2008;12;1;90.91
182;2;35821;05.12.2008;15;1;89.08
182;2;35821;07.12.2008;14;1;89.08
182;2;35821;07.12.2008;17;1;89.08
182;2;35821;07.12.2008;18;2;179.98
182;2;35821;09.12.2008;19;2;175.97
182;2;35821;09.12.2008;20;1;87.98
182;2;35821;11.12.2008;15;1;87.98
182;2;35821;11.12.2008;20;1;87.98
182;2;35821;12.12.2008;14;1;87.98
182;2;35821;13.12.2008;16;1;87.98
182;2;35821;14.12.2008;12;1;87.98
182;2;35821;14.12.2008;13;1;87.98
182;2;35821;15.12.2008;21;1;87.98
182;2;35821;18.12.2008;17;1;78.64
182;2;35821;19.12.2008;14;1;78.64
182;2;35821;20.12.2008;16;1;78.64
182;2;35821;21.12.2008;10;1;78.64
182;2;35821;23.12.2008;17;1;78.64
182;2;35821;24.12.2008;16;1;78.64
182;2;35821;31.12.2008;9;1;78.64
182;2;35821;31.12.2008;11;2;157.29
182;2;35821;02.01.2009;14;1;78.64
182;2;35821;05.01.2009;13;1;78.64
182;2;35821;06.01.2009;13;1;78.64
182;2;35821;08.01.2009;11;1;78.64
182;2;35821;09.01.2009;12;1;77.8
182;2;35821;12.01.2009;11;1;77.8
182;2;35821;12.01.2009;19;1;77.8
182;2;35821;13.01.2009;10;1;77.8
182;2;35821;23.01.2009;11;2;159.51
182;2;35821;23.01.2009;13;1;80.87
182;2;35821;23.01.2009;16;1;79.75
182;2;35821;25.01.2009;18;1;77.8
182;2;35821;26.01.2009;19;1;80.87
182;2;35821;26.01.2009;21;1;79.75
182;2;35821;27.01.2009;15;1;79.75
182;2;35821;28.01.2009;16;1;78.64
182;2;35821;03.02.2009;13;1;76.97
182;2;35821;07.02.2009;11;1;76.97
182;2;35821;07.02.2009;14;1;76.97
182;2;35821;08.02.2009;12;1;76.97
182;2;35821;11.02.2009;14;1;76.97
182;2;35821;11.02.2009;15;1;78.92
182;2;35821;11.02.2009;19;1;78.92
182;2;35821;14.02.2009;15;1;78.92
